toolname,answer_id,question_id,comment_count,creation_date,is_accepted,last_activity_date,owner_reputation,owner_id,score,body
AppDynamics,13532221,13524580,1,"2012/11/23, 17:48:01",False,"2012/11/23, 17:48:01",17,1847969,0,"<p>I suggest to look into Gartners magic quadrant and get dynaTrace since it has negligible overhead , less than 1% in production under load.</p>
"
AppDynamics,13570380,13524580,1,"2012/11/26, 19:52:11",True,"2012/11/26, 19:52:11",74,1854219,5,"<p>Full Disclosure: I currently work for AppDynamics.</p>

<p>AppDynamics was designed from the ground up for high volume production environments but works equally well in both prod and non-prod. It's currently running in production in some of the worlds largest mission critical application environments at Netflix, Exact Target, Edmunds, and many others. Here are a few quotes from existing customers…</p>

<p>""It's like a profiler that you can run in production"" -- Leonid Igolnik, Taleo</p>

<p>""We found that the overhead was negligible"" -- Jacob Marcus, Care.com</p>

<p>""We wanted a monitoring solution that wouldn't impact our production runway"" -- John Martin, Edmunds</p>

<p>AppDynamics overhead is extremely low but I suggest you test it and see for yourself. You can download and use it for free from the AppDynamics website. Good luck in your search for the right APM tool.</p>
"
AppDynamics,13806782,13524580,0,"2012/12/10, 20:18:05",False,"2012/12/10, 20:18:05",207,153728,1,"<p>Yes it will if the application is sensitive to extra GC cycles caused by call stack sampling. The impact will depend on the number of threads and typical call stack depth. This is not specific to AppDynamics, other call stack sampling solutions such as NewRelic and VisualVM Sampler will have a similar impact.</p>

<p><a href=""http://www.jinspired.com/wp-content/uploads/2011/11/JXInsightOpenCore_Good_APM_vs_AppDynamics_Bad_APM.pdf"" rel=""nofollow"">http://www.jinspired.com/wp-content/uploads/2011/11/JXInsightOpenCore_Good_APM_vs_AppDynamics_Bad_APM.pdf</a></p>

<p><a href=""http://www.jinspired.com/wp-content/uploads/2011/11/JXInsightOpenCore_vs_AppDynamics.pdf"" rel=""nofollow"">http://www.jinspired.com/wp-content/uploads/2011/11/JXInsightOpenCore_vs_AppDynamics.pdf</a></p>
"
AppDynamics,13820531,13524580,0,"2012/12/11, 14:32:58",False,"2012/12/11, 14:32:58",207,153728,4,"<p>There are a number of assumptions made by a vendor but the following are most common: </p>

<ol>
<li>We assume your application request processing time is sufficiently high to dwarf our significant overhead. </li>
</ol>

<p>TRANSLATION: We assume you have a slow performing database backend. </p>

<ol>
<li>We assume that instrumentation is applied to a very limited section of the code source to lessen the impact of our significant overhead. </li>
</ol>

<p>TRANSLATION: We assume that you already know your performance hotspots. </p>

<ol>
<li>We assume that there is large amount of under utilized processing capacity to offload our significant overhead. </li>
</ol>

<p>TRANSLATION: We assume that you will not notice tricks used to hide our overhead. </p>

<ol>
<li>We assume that it is impossible to realistically and reliably measure our significant overhead. </li>
</ol>

<p>TRANSLATION: We assume that you know little about performance engineering. </p>

<p>And my favorite (5) is the restriction within a vendors software license on the publication of benchmark results. </p>

<p>TRANSLATION: We assume that you blindly accept our claims – unquestionably.</p>
"
AppDynamics,19518863,13524580,0,"2013/10/22, 16:10:28",False,"2013/10/22, 16:10:28",3374,2508411,1,"<p>Appdynamics will not slow down your system significant, I was on a usermeeting and they said that they always try to be under 2% cpu usage, thats nothing compared to what you get from them.
They are working with samples per time, so if you have 10 requests per second or 100, they will still take the same amout of your cpu / bandwith / whatever. </p>
"
AppDynamics,17416710,17412297,0,"2013/07/02, 05:56:59",True,"2013/07/02, 05:56:59",415,621964,6,"<p>The way that these products generally work is by doing bytecode injection / function interposition / monkey-patching on commonly used libraries and methods.  For instance, you might hook into JDBC query methods, servlet base classes, and HTTP client libraries.  When a request enters the application, track all the important methods/calls it makes, and log them in some way.  Take the data and crunch it into analytics, charts, and alerts.</p>

<p>On top of that, you can start to add in statistical profiling or other options.</p>

<p>The tricky things are tracking requests across process boundaries and dealing with the volume of performance data you'll gather. (I work on this problem at AppNeta)</p>

<p>One thing to check out is Twitter Zipkin (<a href=""https://github.com/twitter/zipkin"">https://github.com/twitter/zipkin</a>), doesn't support much and pretty early-stage but interesting project.</p>
"
AppDynamics,17418261,17412297,0,"2013/07/02, 08:52:04",False,"2013/07/02, 08:52:04",101,1792169,10,"<p>Both AppDynamics and New Relic use Standard BCI to monitor the common interfaces (entry and exit points) developers use to build applications (e.g. Servlet, struts, SOAP, JMS, JDBC, ...). This provides a basic skeleton of code execution (call graphs) with timing information which represents less than 5% of code that is executed.</p>

<p>The secret is to then uncover the timing of the remaining 95% code execution during slowdowns without incurring too much overhead in a production JVM. AppDynamics uses a combination of in-memory agent analytics and Java API calls to then extract the remaining code execution in real-time. This means no custom instrumentation is required or explicit declaration of what classes/methods you want the monitoring solution to instrument.</p>

<p>AppDynamics data collection is very different to that of New Relic. For example, with AppDynamics you can get a complete distributed call graph across multiple JVMs for a specific user request, rather than say an aggregate of requests.</p>

<p>BCI is a commodity these days, the difference is in the analytics and algorithms used by vendors that trigger diagnostics/call graph information so you end up with the right visibility at the right time to solve problems.</p>

<p>Steve.</p>
"
AppDynamics,31063347,31001196,2,"2015/06/26, 04:13:54",True,"2015/06/26, 04:13:54",86,5051173,7,"<p>That error means that gradle is unable to resolve the dependency on <code>com.appdynamics:appdynamics-runtime</code>. The easiest way to fix this problem is to use the AppDynamics libraries from maven central rather than the <code>adeum-maven-repo</code> directory. You can do that by editing your top level gradle file to look like this:</p>

<pre><code>buildscript {
    configurations.classpath.resolutionStrategy.force('com.android.tools.build:gradle:1.2.3')
    repositories {
        mavenCentral()
    }
    dependencies {
        classpath 'com.android.tools.build:gradle:1.2.3'
        classpath 'com.appdynamics:appdynamics-gradle-plugin:4.+'
    }
}

allprojects {
    repositories {
        mavenCentral()
    }
}
</code></pre>

<p>Then your project-level gradle file would look like:</p>

<pre><code>apply plugin: 'adeum'

repositories {
    flatDir {
        dirs 'lib'
    }
}

dependencies {
    compile 'com.appdynamics:appdynamics-runtime:4.+'
}
</code></pre>

<p>Note that I have removed the references to <code>adeum-maven-repo</code>, and changed the version numbers on the AppDynamics artifacts to refer to them as they exist in maven central. Once you've done this, you no longer need <code>adeum-maven-repo</code> in your project, since gradle is now downloading these dependencies automatically.</p>
"
AppDynamics,58801626,56138542,0,"2019/11/11, 14:45:04",False,"2019/11/11, 14:45:04",26,12355048,0,"<ol>
<li>To install the Java Agent on JBoss EAP or JBoss Wildfly, you need to initialize the JVM. Run the following parameter:</li>
</ol>

<p>JAVA_OPTS=""$JAVA_OPTS -Djboss.modules.system.pkgs=org.jboss.byteman,com.singularity,org""
If you do not initialize the JVM, the installation throws a ""class not found"" exception. </p>

<ol start=""2"">
<li>Add the following to the end of the standalone.conf file in the JAVA_OPTS section.</li>
</ol>

<p>-Djava.util.logging.manager=org.jboss.logmanager.LogManager -Xbootclasspath/p:
/jboss-logmanager-.jar</p>

<p>JDK9 and above, -Xbootclasspath/p option has been removed; use -Xbootclasspath/a instead.</p>

<p>-Djava.util.logging.manager=org.jboss.logmanager.LogManager -Xbootclasspath/a:
/jboss-logmanager-.jar</p>

<ol start=""3"">
<li>You can find the all installation process on the latest installation document:</li>
</ol>

<p><a href=""https://docs.appdynamics.com/display/PRO45/JBoss+and+Wildfly+Startup+Settings#JBossandWildflyStartupSettings-InitializetheJVM"" rel=""nofollow noreferrer"">https://docs.appdynamics.com/display/PRO45/JBoss+and+Wildfly+Startup+Settings#JBossandWildflyStartupSettings-InitializetheJVM</a></p>
"
AppDynamics,16171037,16161856,0,"2013/04/23, 16:48:17",False,"2013/04/23, 16:48:17",11,2047636,1,"<p>A great place to ask this question would be on the AppDynamics discussion forums so that AppDynamics support can answer you directly... <a href=""http://appsphere.appdynamics.com/t5/Discussions/ct-p/Discussions"" rel=""nofollow"">http://appsphere.appdynamics.com/t5/Discussions/ct-p/Discussions</a></p>

<p>I'm guessing there is a permissions issue somewhere.</p>
"
AppDynamics,18347965,16161856,0,"2013/08/21, 05:35:52",False,"2013/08/21, 05:35:52",17506,524588,1,"<p>You should copy all files to run the agent, not just javaagent.jar. </p>

<p>This is a thread about it. <a href=""http://appsphere.appdynamics.com/t5/Lite-for-Java/Keep-getting-a-quot-Invalid-Agent-Installation-Directory-quot-on/td-p/1151"" rel=""nofollow"">http://appsphere.appdynamics.com/t5/Lite-for-Java/Keep-getting-a-quot-Invalid-Agent-Installation-Directory-quot-on/td-p/1151</a></p>
"
AppDynamics,26749167,25891322,0,"2014/11/05, 05:23:23",True,"2014/11/05, 05:23:23",5502,376340,4,"<p>The definition can be found in AppDynamics docs: <a href=""https://docs.appdynamics.com/display/PRO39/Troubleshoot+Slow+Response+Times#TroubleshootSlowResponseTimes-SlowandStalledTransactions"" rel=""nofollow"">Slow and Stalled Transactions</a></p>

<blockquote>
  <p>By default AppDynamics considers a slow transaction one that lasts longer than 3 times the standard deviation for the last two hours, a very slow transaction 4 times the standard deviation for the last two hours, and a stalled transaction one that lasts longer than 300 deviations above the average for the last two hours.</p>
</blockquote>

<p>Of course, you can modify the default rules by providing your own: <a href=""https://docs.appdynamics.com/display/PRO39/Configure+Thresholds"" rel=""nofollow"">Configure Thresholds</a></p>
"
AppDynamics,29123098,29122786,0,"2015/03/18, 15:14:41",False,"2015/03/18, 15:14:41",505,4382794,0,"<p>Even it is not the desired behaviour, if filtering by URL and specifying only createNewActivity worked for me (as long as there are no other REST URLs matching this).</p>
"
