project_id,questions_count
28457823,95
177736533,0
11730342,24241
13491895,0
10270250,130718
45717250,30899
2126244,61177
21737465,3809
60493101,0
85077558,2
14440270,2
291137,17
121395510,0
83222441,0
1062897,1278
31792824,44583
41881900,9233
6498492,402320
2325298,5352
54346799,56
123458551,0
943149,23591
132464395,0
29028775,53202
63476337,622665
21289110,1
9384267,7599
132750724,0
126577260,3
63537249,1837
35955666,0
23088740,7277
23096959,15007
27193779,43020
20580498,16996
14098069,0
100060912,130
241576270,0
133442384,265
2561582,350
19415064,216
24195339,122500
51117837,799
90796663,3388
20929025,43113
112507086,0
576201,8780
34526884,880
3470471,3323
1863329,112861
23083156,6432
22790488,13
88464704,2
160640094,0
460078,3723
7691631,17
21540759,1
44571718,3
33614304,1
70107786,1598
3678731,19397
36535156,21588
54173593,663
103633984,0
167174,393176
44838949,100522
1861458,283
3228505,2442
4164482,176268
596892,31138
507775,28019
26500787,8
6296790,40632
557980,9302
8843683,4063
7600409,0
237159,22821
14747598,168
33015583,17897
5108051,32290
36633370,0
18408635,0
52631841,20
151834062,23
724712,6026
10744183,29
4311796,1
81975372,31
9309093,2134
3544424,67
128398636,0
11180687,549
67274736,208558
486550,80
36040894,2627
21872392,0
3955647,3320
8514,154478
1334369,0
3402537,1
156018,13982
62607227,0
1181927,737
3638964,12863
1424470,1792
612230,473
23357588,3599
120538304,2
1362490,42515
7508411,3136
65600975,5489
9185792,1
15204860,0
107111421,0
127988011,26
20904437,301
101296881,5
843222,3608
12256376,1393
3214406,18061
19872456,8522
26898879,0
50264296,484
65252,4062
184456251,6
55076063,0
24953448,8
138839979,0
1700621,66
48378947,94
46629305,0
22670857,1
74791366,0
1148753,1556
88011908,2
63539055,0
111583593,4
16408992,222
20300177,1534
49970642,4058
45986162,19
28428729,0
74293321,992
32484381,1
529502,10848
21737266,0
5152285,1255
23974149,1999
40416236,0
75104123,506
15111821,2012
34302698,334
24560307,3814
51148780,1
127407957,642
3100121,242
53809090,51
22887094,2126
99598595,620
83844720,104
12888993,82998
892275,4908
47018239,0
69629434,0
15428480,237
5483330,4187
172953845,3
98029592,5
155220641,136
5271882,0
3065454,58
21700699,1
33791743,17
16752620,70
41912791,0
26689598,0
9852918,1277
211666,0
36502,79632
77189043,0
22458259,3891
15634981,351
58028038,0
62367558,1711
81598961,386
138393139,0
83999700,0
22119721,0
4710920,20
3432266,19869
6838921,2527
172562475,3
147350463,0
10187082,1403
14712850,6
11225014,323
68957920,0
114747226,2
15062869,8514
1828795,3050
4086616,32
1663468,468
13807606,66
26066727,87
58836534,4
63477660,474658
2935735,362
19148949,1071
11167738,8093
128907699,32
11177928,19838
7569578,116
90528830,0
29268051,244
