tool,sentence
appdynamics,Is it ok to deploy Performance Monitoring Tool - AppDynamics - in Production?
appdynamics,The application to be monitored is a standard Java/J2EE Web Application.
appdynamics,"I have never worked with AppDynamics, and my concern is that it may actually slow down my application."
appdynamics,Has anyone used AppDynamics in Production?
appdynamics,Or should it be used only in Test kind of enivornments.
appdynamics,How do you build a AppDynamic or New Relic kind of system that collects performance metrics of your application including detailed call tree stats by merely installing a software on the servers where your application runs?
appdynamics,Is it even possible to collect such metrics without compiling your apps with debug information?
appdynamics,What are the performance trade offs to consider when building such a service?
appdynamics,How do such software minimize the performance impact they themselves might be having on the application.
appdynamics,"I'm trying to add Appdynamics into my application, I'm doing those steps:  https://docs.appdynamics.com/display/PRO40/Instrument+an+Android+Application#InstrumentanAndroidApplication-ToaddtheAppDynamicsAndroidagentrepositorytoyourproject  but after all I have error:"
appdynamics,This is how my build.gradle (for all project) looks like:
appdynamics,and build.gradle (from app module):
appdynamics,and  adeum-maven-repo  paste into project.
appdynamics,Any idea what am I doing wrong?
appdynamics,"I followed the instructions on the website of appdynamic, but when I was following this step:"
appdynamics,When I ran standalone.bat this error appears:
appdynamics,I have installed Appdynamics lite on my server and it worked fine when I used to run my tomcat instance with root user.
appdynamics,"But from the time I have created a new user ""Tomcat"" and start executing my apache tomcat with this user, I am not able to run appdynamics."
appdynamics,"I have copied the javaagent at this location with all rights(read,write,execute) to tomcat ""/home/tomcat/profiler/AppServerLite""."
appdynamics,It throws an exception as follows :
appdynamics,I wonder what stall means in AppDynamics Pro.
appdynamics,Can you give an example which Appdynamics Pro application name that situation as Stall?
appdynamics,Thanks.
appdynamics,"I'm trying to filter on AppDynamics to get all the request to a particular REST URL, the REST URL is not fixed as long as in the URL"
appdynamics,/AppEngine/rest/evac/${id}/createNewActivity
appdynamics,"On the Transaction Snapshots you have the option to filter results, and in the filters you can filter by URL:"
appdynamics,"If I search for a concrete URL (with ${id} defined) I can search it, but I cannot find how to use a wildcar to find this URL with any ${id}."
appdynamics,I tried so far to use
appdynamics,With no results.
appdynamics,"The one with works just a bit is using /AppEngine/rest/evac/* which also retrieves other REST which start with the same URL, so I can export the results and filter outside AppDynamics."
appdynamics,But there is a way to use a wildcard so I can find the desired results in AppDynamics?
appdynamics,I am now working on Performance Testing of a Java Application that runs on GlassFish Server 4.1.
appdynamics,"After going through some statistics that I got from AppDynamics tool, I find that there is no possibility for me to drill down to code/method level issues."
appdynamics,"For example, I can see the time taken by each method or function using dotTrace or JProfiler but AppDynamics tool seems to skip all these features."
appdynamics,"I was also looking for a free solution, hence I choose AppDynamics."
appdynamics,Now I feel I am not on the right track.
appdynamics,Can someone let me know more about this tool if I am missing something or suggest any other quick and easy solution to this.
appdynamics,Is there a possibility that the monitors on GlassFish server 4.1 can do the same for no cost?
appdynamics,I am trying to a good comparison between AppDynamics and Application Insights in regard to Azure App Service.
appdynamics,"I tried to google around but couldn't find any good comparison, if someone can point me or summarize here."
appdynamics,Has anybody solved to monitor Azure functions using AppDynamics ?
appdynamics,I don't see any option to add a AppDynamics extension to the Azure functions app.
appdynamics,For a period of time we might want to have the two analytics together.
appdynamics,Could this be problematic?
appdynamics,Would it be degrade the speed?
appdynamics,Would there be any fight between who captures the crash log?
appdynamics,!
appdynamics,Most popular logging and monitoring stacks like ELK stack or Time series DB-Grafana are designed to be integrated.
appdynamics,"Can AppDynamics work with other samplers/DBs, in particular Prometheus?"
appdynamics,I have a problem with my health rule configuration.
appdynamics,All I want is to have health rule which will be checking if service is running or not.
appdynamics,I have two types of services:
appdynamics,IIS
appdynamics,Standalone services
appdynamics,The problem is that some services are recognized as critical due to health rule violation.
appdynamics,"For example, I have two exactly the same services on two hosts and the only difference is that one of them is in use not so often."
appdynamics,Due to lack of activity on this service appdynamics pointing me it as critical.
appdynamics,Most probably I have done something wrong.
appdynamics,Any ideas?
appdynamics,I'm struggling with it as additional task.
appdynamics,Tried appdynamics community website but nothing which could point me solution.
appdynamics,Here's my health rule configuration :
appdynamics,I have a Spring application monitored by Appdynamics.
appdynamics,"This application has a Service Endpoint recognized by Appdynamics, named lets say:  /general/endpoint"
appdynamics,Now within the application there are multiple endpoints like:
appdynamics,Now back to Appdynamics: Within the Service Endpoints menu I can find my  /general/endpoint  and click on it.
appdynamics,"Then I see a table with the actual REST API calls, their respective execution time, the specific URL (like  /general/endpoint/do-something-1 ) and some more information."
appdynamics,If I am interested in monitoring the requests for a specific URL I can do the following:
appdynamics,"Now I see what I want, all the requests and their potential problems for a specific URL inside my application."
appdynamics,Now comes my actual question:
appdynamics,How can I achieve the same for Dashboards?
appdynamics,I was only able to create a dashboard with the  Calls per Minute  for the  /general/endpoint  but not for a specific URL like  /general/endpoint/do-something-1 .
appdynamics,Is there a way to apply the more fine grade filter for dashboards as well?
appdynamics,I am doing some proof of concept to ingest traces and metrics to AppDynamics without installing Appdynamics agent.
appdynamics,I have an application emitting prometheus metrics and traces.
appdynamics,I could not find any Appdynamics documentation talking about opentelemetry Collector.
appdynamics,I could not find exporter in  https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/exporter  either.
appdynamics,Can you please advise on how to use opencollector with Appdynamics?
appdynamics,"With appdynamics it's easy to setup metrics that ""aggregate"" data from different nodes."
appdynamics,"What if you want to aggregate some date, and some other data, show as distinct lines in the graph?"
appdynamics,Is that possible?
appdynamics,I am trying to install Appdynamics APM tool.
appdynamics,It has three components :
appdynamics,I have few queries:
appdynamics,How can we capture heap dumps with the help of appdynamics?
appdynamics,How does AppDynamics and similar problems retrieve data from apps ?
appdynamics,"I read somewhere here on SO that it is based on bytecode injection, but is there some official or reliable source to this information ?"
appdynamics,I am trying to integrate apps performance monitoring tool with my Android Application by my gradle fails saying
appdynamics,Below is my gradle root gradle file
appdynamics,"And here is my App's gradle file,"
appdynamics,I am already having Multidex flag enabled still it gives me the problem while running the Application.
appdynamics,"And, also I have in my Application class"
appdynamics,I would like to know which existing api in AppDynamics can we use to generate custom reports.
appdynamics,"The use case is like, i am consolidating reports from multiple tools so,i would be using the API of app dynamics and doing a backend call to pull the data i need to display and putting it in a csv or excel.All of this will happen in an automated way, would like to know the api or any specific way to do the same in app dynamics."
appdynamics,How to find TimeStamp difference in App Dynamics Query Language (ADQL)?
appdynamics,I tried column1 - column2.
appdynamics,"Getting error message ""Operator  [SUBTRACTION]  not valid on field types  [DATETIME], [DATETIME] ."
appdynamics,I have my java application up and running.
appdynamics,I want to import that application in Appdynamics for monitoring.
appdynamics,Can any one please suggest how to import java applications in appdynamics.
appdynamics,"Data is not loading from standalone java applications to agent controller, but only say java agent is connected successfully and waiting for data to load."
appdynamics,"In Autodetection and Object tracing dashboard tabs, not able to view the detail or drill down the object tracking instances for standalone Java applications."
appdynamics,Configured adding some of the fully qualified class names from the application.
appdynamics,"Please advice, do I need to do any other settings to get the drill down feature?"
appdynamics,We have cluster of instances whereas each instance has DropWizard metrics gatherer.
appdynamics,We're also trying to leverage AppDynamics custom metrics and that works so that custom script hits DropWizard exposed endpoint (/metrics) and sends metrics of interest to AppDynamics Controller.
appdynamics,AppDynamics has 2 cluster rollout strategies for how the metric is displayed in a whole application view (tier) - SUM and AVG.
appdynamics,While this works well for stuff like counts (sum is used) and average processing times (avg is used) - we for now don't have any idea of how to aggregate each instance percentiles exposed by DropWizard - neither sum nor avg looks correct.
appdynamics,Example:
appdynamics,sum  will give 1700 what of course isn't useful at all.
appdynamics,avg  will give 600 - which isn't correct either - we're losing track of higher bound.
appdynamics,If AppDynamics had MAX Cluster rollout - that would be more or less fair - still not correct though.
appdynamics,But AppDynamics doesn't have that.
appdynamics,We also understand that the only fully correct way of gathering cluster percentiles is to perform aggregation from all nodes at one place (e.g.
appdynamics,"logstash, etc..) and not on each instance."
appdynamics,But for now that's what we have - just sending custom metrics periodically.
appdynamics,It would be great if anyone suggests something regarding that.
appdynamics,"Thanks in advance,"
appdynamics,"I see that Appdynamics 4.2 claims to  support  Java 8 lambda instrumenting, but this support was  removed  in 4.3."
appdynamics,I cannot find anything in  4.3 release notes  that mentions removing support for lambdas.
appdynamics,What's happened?
appdynamics,Is it somehow related to  JDK-8145964 ?
appdynamics,Getting below error during platform installation:
appdynamics,"""Required libaio package is not found."
appdynamics,"..."""
appdynamics,"However, above package is already installed:"
appdynamics,Here is output from the installation script:
appdynamics,I have read about the Appdynamics in Kubernetes but I got confused.
appdynamics,"The scenario is like I am having EC2 under which Kubernetes is running which is having POD and under 1 pod, multiple container is running."
appdynamics,Where I have to install machine-agent?
appdynamics,In EC2 or in daemon set?
appdynamics,And where I have to install app-agent?
appdynamics,do I have to add app-agent in each container Dockerfile?
appdynamics,"And lastly, what would be my hostName and uniqueHostId?"
appdynamics,I explore AppDynamics and other APM solutions to choose right one for my company.
appdynamics,I have created simple demo .NET application (WCF service and console client to consume it).
appdynamics,Then I installed AppDynamics agent on machine and configure it for both client and service as for standalone applications:
appdynamics,"When I start my client and service I see that AppD agent have ""injected"" code to my applications and write ""Running non-obfuscated client"" to the console"
appdynamics,I want to understand what technics or methods AppDynamics agent use to instrument .NET applications without SDK and being just a separate process (service)?
appdynamics,"How does it listen for incoming WCF calls of my service without being directly used by the service (it's not referenced as an assembly, even not mentioned in app.config)?"
appdynamics,Has anyone experienced Webpack dependency compiling issues when using the AppDynamics library?
appdynamics,And did you find a way to work around it?
appdynamics,I believe this is an issue stemming from their library.
appdynamics,"When trying to install the AppDynamics package for monitoring a Node.js/Express application, our Webpack build process is not able to import a handful of dependencies."
appdynamics,"Specifically, the errors output are:"
appdynamics,"Our project is set up with:
- Webpack v4.29.0
- Node.js v11.0.0
- Appdynamics v4.5"
appdynamics,The Appdynamics usage is at the top of our server file as:
appdynamics,And our Webpack configuration is:
appdynamics,"So far we have tried downgrading the Webpack version, downgrading the Node environment to 10.15, and using other import methods for the AppDynamics package, but this seems like an issue internal to the Appdynamics library?"
