tool,sentence,neg,pos,neu,com
appdynamics,Is it ok to deploy Performance Monitoring Tool - AppDynamics - in Production?,0.0,0.18,0.82,0.296
appdynamics,The application to be monitored is a standard Java/J2EE Web Application.,0.0,0.0,1.0,0.0
appdynamics,"I have never worked with AppDynamics, and my concern is that it may actually slow down my application.",0.0,0.0,1.0,0.0
appdynamics,Has anyone used AppDynamics in Production?,0.0,0.0,1.0,0.0
appdynamics,Or should it be used only in Test kind of enivornments.,0.0,0.0,1.0,0.0
appdynamics,How do you build a AppDynamic or New Relic kind of system that collects performance metrics of your application including detailed call tree stats by merely installing a software on the servers where your application runs?,0.0,0.0,1.0,0.0
appdynamics,Is it even possible to collect such metrics without compiling your apps with debug information?,0.0,0.0,1.0,0.0
appdynamics,What are the performance trade offs to consider when building such a service?,0.0,0.0,1.0,0.0
appdynamics,How do such software minimize the performance impact they themselves might be having on the application.,0.0,0.0,1.0,0.0
appdynamics,"I'm trying to add Appdynamics into my application, I'm doing those steps:  https://docs.appdynamics.com/display/PRO40/Instrument+an+Android+Application#InstrumentanAndroidApplication-ToaddtheAppDynamicsAndroidagentrepositorytoyourproject  but after all I have error:",0.173,0.0,0.827,-0.5499
appdynamics,This is how my build.gradle (for all project) looks like:,0.0,0.217,0.783,0.3612
appdynamics,and build.gradle (from app module):,0.0,0.0,1.0,0.0
appdynamics,and  adeum-maven-repo  paste into project.,0.0,0.0,1.0,0.0
appdynamics,Any idea what am I doing wrong?,0.383,0.0,0.617,-0.4767
appdynamics,"I followed the instructions on the website of appdynamic, but when I was following this step:",0.0,0.0,1.0,0.0
appdynamics,When I ran standalone.bat this error appears:,0.385,0.0,0.615,-0.481
appdynamics,I have installed Appdynamics lite on my server and it worked fine when I used to run my tomcat instance with root user.,0.0,0.083,0.917,0.2023
appdynamics,"But from the time I have created a new user ""Tomcat"" and start executing my apache tomcat with this user, I am not able to run appdynamics.",0.0,0.098,0.902,0.3612
appdynamics,"I have copied the javaagent at this location with all rights(read,write,execute) to tomcat ""/home/tomcat/profiler/AppServerLite"".",0.0,0.0,1.0,0.0
appdynamics,It throws an exception as follows :,0.0,0.0,1.0,0.0
appdynamics,I wonder what stall means in AppDynamics Pro.,0.231,0.0,0.769,-0.2023
appdynamics,Can you give an example which Appdynamics Pro application name that situation as Stall?,0.122,0.0,0.878,-0.2023
appdynamics,Thanks.,0.0,1.0,0.0,0.4404
appdynamics,"I'm trying to filter on AppDynamics to get all the request to a particular REST URL, the REST URL is not fixed as long as in the URL",0.0,0.0,1.0,0.0
appdynamics,/AppEngine/rest/evac/${id}/createNewActivity,0.0,0.0,1.0,0.0
appdynamics,"On the Transaction Snapshots you have the option to filter results, and in the filters you can filter by URL:",0.0,0.0,1.0,0.0
appdynamics,"If I search for a concrete URL (with ${id} defined) I can search it, but I cannot find how to use a wildcar to find this URL with any ${id}.",0.0,0.0,1.0,0.0
appdynamics,I tried so far to use,0.0,0.0,1.0,0.0
appdynamics,With no results.,0.524,0.0,0.476,-0.296
appdynamics,"The one with works just a bit is using /AppEngine/rest/evac/* which also retrieves other REST which start with the same URL, so I can export the results and filter outside AppDynamics.",0.0,0.0,1.0,0.0
appdynamics,But there is a way to use a wildcard so I can find the desired results in AppDynamics?,0.0,0.159,0.841,0.3919
appdynamics,I am now working on Performance Testing of a Java Application that runs on GlassFish Server 4.1.,0.0,0.0,1.0,0.0
appdynamics,"After going through some statistics that I got from AppDynamics tool, I find that there is no possibility for me to drill down to code/method level issues.",0.084,0.0,0.916,-0.296
appdynamics,"For example, I can see the time taken by each method or function using dotTrace or JProfiler but AppDynamics tool seems to skip all these features.",0.0,0.0,1.0,0.0
appdynamics,"I was also looking for a free solution, hence I choose AppDynamics.",0.0,0.444,0.556,0.6808
appdynamics,Now I feel I am not on the right track.,0.0,0.0,1.0,0.0
appdynamics,Can someone let me know more about this tool if I am missing something or suggest any other quick and easy solution to this.,0.08,0.19,0.73,0.4588
appdynamics,Is there a possibility that the monitors on GlassFish server 4.1 can do the same for no cost?,0.121,0.0,0.879,-0.296
